"fue","issn","eissn","categoria_id"
"SOUTHERN AFRICAN JOURNAL OF CRITICAL CARE","1562-8264","2078-676X",58
"SOUTH AFRICAN JOURNAL OF CULTURAL HISTORY","1011-3053","1011-3053",120
"SOUTHERN AFRICAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY","2074-2835","2220-105X",187
"SOUTHERN AFRICAN JOURNAL OF INFECTIOUS DISEASES","2312-0053","2313-1810",129
"SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY","0379-6175","2410-8219",237
"SOUTHERN FORESTS","2070-2620","2070-2639",105
"SOUTHERN FORESTS-A JOURNAL OF FOREST SCIENCE","2070-2620","2070-2639",105
"STELLENBOSCH PAPERS IN LINGUISTICS PLUS-SPIL PLUS","1726-541X","2224-3380",137
"STELLENBOSCH THEOLOGICAL JOURNAL","2413-9459","2413-9467",238
"STRATEGIC REVIEW FOR SOUTHERN AFRICA","1013-1108","1013-1108",217
"TD-THE JOURNAL FOR TRANSDISCIPLINARY RESEARCH IN SOUTHERN AFRICA","1817-4434","2415-2005",247
"TOWN AND REGIONAL PLANNING","1012-280X","2415-0495",236
"TRANSFORMATION-CRITICAL PERSPECTIVES ON SOUTHERN AFRICA","0258-7696","1726-1368",18
"TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH","1596-5996",NA,201
"TYDSKRIF VIR GEESTESWETENSKAPPE","0041-4751",NA,245
"TYDSKRIF VIR LETTERKUNDE","0041-476X",NA,140
"TYDSKRIF VIR DIE SUID-AFRIKAANSE REG","0257-7747",NA,135
"WATER SA","0378-4738","1816-7950",269
