"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"Nigerian Journal of Animal Science","Agriculture & Food Sciences","1119-4308","2682-6550","2645-2952","https://www.ajol.info/index.php/tjas"
"Nigerian Journal of Animal Science","Agriculture & Food Sciences","1119-4308","2682-6550","2645-2952","https://www.ajol.info/index.php/tjas"
"Nigerian Journal of Biotechnology","Agriculture & Food Sciences","0189-1731","0189-1731",NA,"https://www.ajol.info/index.php/njb"
"Nigerian Journal of Biotechnology","Agriculture & Food Sciences","0189-1731","0189-1731",NA,"https://www.ajol.info/index.php/njb"
"Nigerian Journal of Horticultural Science","Agriculture & Food Sciences","1118-2733","1118-2733",NA,"https://www.ajol.info/index.php/njhs"
"Nigerian Journal of Horticultural Science","Agriculture & Food Sciences","1118-2733","1118-2733",NA,"https://www.ajol.info/index.php/njhs"
"Nigerian Journal of Soil and Environmental Research","Agriculture & Food Sciences","1595-6121",NA,NA,"https://www.ajol.info/index.php/njser"
"Nigerian Journal of Soil and Environmental Research","Agriculture & Food Sciences","1595-6121",NA,NA,"https://www.ajol.info/index.php/njser"
"Nigerian Journal of Soil Science","Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/njss"
"Nigerian Journal of Soil Science","Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/njss"
"Nigerian Veterinary Journal","Agriculture & Food Sciences","0331-3026",NA,NA,"https://www.ajol.info/index.php/nvj"
"Nigerian Veterinary Journal","Agriculture & Food Sciences","0331-3026",NA,NA,"https://www.ajol.info/index.php/nvj"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/najfnr"
