title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
suidafrikaanse tydskrif vir navorsing in sport liggaamlike opvoedkunde en ontspanning	0379-9069	NULL	1	1	1	1
zagazig journal of occupational health and safety	1687-8671	NULL	0	0	0	1
egyptian academic journal of biological sciences a entomology	1687-8809	2090-0813	0	0	0	1
tanta medical sciences journal	1687-5788	1687-7918	0	0	0	1
national drug information journal	0855-6059	NULL	0	0	0	1
journal of international politics and development	1597-3522	NULL	0	0	0	1
egyptian dermatology online journal	1687-3831	NULL	0	0	0	1
edo journal of counselling	2006-7593	NULL	0	0	0	1
synthese	2352-9717	1111-4924	1	0	0	1
niger delta biologia	1118-8731	NULL	0	0	0	1
ghanaian journal of economics	2309-8945	NULL	0	0	0	1
transdisciplinary ejournal	2312-7147	NULL	0	0	0	1
applied animal husbandry rural development	2312-8747	NULL	0	0	0	1
revue des sciences sociales et humaines	2170-1121	NULL	0	0	0	1
algerian business performance review	1938-2170	NULL	0	0	0	1
psychological educational studies	1112-9263	NULL	0	0	0	1
kaduna journal of sociology	2360-7734	NULL	0	0	0	1
ethiopian renaissance journal of social sciences and the humanities	2409-6377	2409-6385	0	0	0	1
international journal of african and asian studies	NULL	2409-6938	0	0	0	1
african journal of transformational scholarship	1821-9683	NULL	0	0	0	1
east african journal of research	1821-9551	NULL	0	0	0	1
tanzania journal of agricultural sciences	1821-9144	NULL	0	0	0	1
international journal of chemical material and environmental research	2410-5945	NULL	0	0	0	1
general health and medical sciences	2409-9856	NULL	0	0	0	1
general scientific researches	2409-9872	NULL	0	0	0	1
hekima review	1019-6188	2410-0234	0	0	0	1
elite research journals of clinical pharmacy medicine and medical sciences	2384-8014	NULL	0	0	0	1
wyno academic journal of social science	2384-7808	NULL	0	0	0	1
tanzania dental journal	0856-0625	NULL	1	0	0	0
ilorin journal of accounting	2408-5375	NULL	0	0	0	1
ilorin journal of science	2408-4816	NULL	0	0	0	1
nials journal of business law	2408-4921	NULL	0	0	0	1
pencil publication of agricultural sciences	2408-5545	NULL	0	0	0	1
pencil publication of biological science	2408-5529	NULL	0	0	0	1
pencil publication of medical and pharmaceutical sciences	2408-5553	NULL	0	0	0	1
unilag journal of humanities	2408-5006	NULL	0	0	0	1
unilag journal of medicine science and technology	2408-5022	NULL	0	0	0	1
linguistic association of nigeria journal	0189-5680	2488-9709	0	0	0	1
media and communication review	2489-0014	NULL	0	0	0	1
nigerian journal of health and allied research	2488-8710	NULL	0	0	0	1
nile journal of business and economics	2488-9571	NULL	0	0	0	1
uzu	2488-9946	NULL	0	0	0	1
south african dental journal	2519-0105	1029-4864	0	0	0	1
journal of management and business administration	2519-0016	NULL	0	0	0	1
mara research journal of information science and technology	2518-8844	NULL	0	0	0	1
nuclear sciences scientific journal	2314-5609	NULL	0	0	0	1
the journal of quality in education	2028-1897	NULL	0	0	0	1
tanzania journal of development studies	0856-9622	2591-6831	1	0	0	0
tanzania journal of engineering and technology	1821-536X	NULL	1	0	0	0
journal of economic sciences management and commercial sciences	1112-8984	2602-5140	0	0	0	1
african journal of biological sciences	2663-2187	NULL	0	0	0	1
altaqat alsamsiyyat waaltanmiyyat almustadamat	2411-9636	NULL	0	0	0	1
solar energy and sustainable development	2414-6013	NULL	0	0	0	1
family law	2542-5242	NULL	0	0	0	1
